Accuracy,Bias,POD (Sensitivity),PFD,FAR,Specificity,ETS,Threat Score,Threshold,H,FA,M,CN
0.37254901960784315,2.6842105263157894,1.0,1.0,0.6274509803921569,0.0,0.59375,0.37254901960784315,0,76,128,0,0
0.7647058823529411,1.1842105263157894,0.7763157894736842,0.2421875,0.34444444444444444,0.7578125,0.8030424339471578,0.5514018691588785,1,59,31,17,97
0.7745098039215687,1.1578947368421053,0.7763157894736842,0.2265625,0.32954545454545453,0.7734375,0.8169970133043714,0.5619047619047619,2,59,29,17,99
0.7745098039215687,1.131578947368421,0.7631578947368421,0.21875,0.32558139534883723,0.78125,0.8059945504087193,0.5576923076923077,3,58,28,18,100
0.7990196078431373,1.013157894736842,0.7368421052631579,0.1640625,0.2727272727272727,0.8359375,0.8197474167623422,0.5773195876288659,4,56,21,20,107
0.8137254901960784,0.9736842105263158,0.7368421052631579,0.140625,0.24324324324324326,0.859375,0.8429752066115702,0.5957446808510638,5,56,18,20,110
0.7941176470588235,0.8947368421052632,0.6710526315789473,0.1328125,0.25,0.8671875,0.7536945812807881,0.5483870967741935,6,51,17,25,111
0.7941176470588235,0.868421052631579,0.6578947368421053,0.125,0.24242424242424243,0.875,0.7417102966841187,0.5434782608695652,7,50,16,26,112
0.7892156862745098,0.7763157894736842,0.6052631578947368,0.1015625,0.22033898305084745,0.8984375,0.6863662960795788,0.5168539325842697,8,46,13,30,115
0.7794117647058824,0.7236842105263158,0.5657894736842105,0.09375,0.21818181818181817,0.90625,0.6369445251234388,0.48863636363636365,9,43,12,33,116
0.7549019607843137,0.6578947368421053,0.5,0.09375,0.24,0.90625,0.5477671000565291,0.4318181818181818,10,38,12,38,116
0.75,0.6447368421052632,0.4868421052631579,0.09375,0.24489795918367346,0.90625,0.5305032330615687,0.42045454545454547,11,37,12,39,116
0.7401960784313726,0.618421052631579,0.4605263157894737,0.09375,0.2553191489361702,0.90625,0.4965229485396384,0.3977272727272727,12,35,12,41,116
0.7450980392156863,0.6052631578947368,0.4605263157894737,0.0859375,0.2391304347826087,0.9140625,0.5009823182711198,0.40229885057471265,13,35,11,41,117
0.7303921568627451,0.5394736842105263,0.40789473684210525,0.078125,0.24390243902439024,0.921875,0.43831438868866096,0.36046511627906974,14,31,10,45,118
0.7352941176470589,0.5,0.39473684210526316,0.0625,0.21052631578947367,0.9375,0.42953396967995505,0.35714285714285715,15,30,8,46,120
0.7352941176470589,0.4473684210526316,0.3684210526315789,0.046875,0.17647058823529413,0.953125,0.40384615384615385,0.34146341463414637,16,28,6,48,122
0.7303921568627451,0.4342105263157895,0.35526315789473684,0.046875,0.18181818181818182,0.953125,0.38734177215189874,0.32926829268292684,17,27,6,49,122
0.7303921568627451,0.4342105263157895,0.35526315789473684,0.046875,0.18181818181818182,0.953125,0.38734177215189874,0.32926829268292684,18,27,6,49,122
0.7303921568627451,0.4342105263157895,0.35526315789473684,0.046875,0.18181818181818182,0.953125,0.38734177215189874,0.32926829268292684,19,27,6,49,122
0.7303921568627451,0.40789473684210525,0.34210526315789475,0.0390625,0.16129032258064516,0.9609375,0.3743647656691135,0.32098765432098764,20,26,5,50,123
