site_no,spot_no,date,sst,source
1,5,2021-02-20,18.66,nasa_mur
1,5,2021-02-21,18.68,nasa_mur
3,11,2021-02-20,20.84,nasa_mur
3,11,2021-02-21,20.98,nasa_mur
3,13,2021-02-20,20.75,nasa_mur
3,13,2021-02-21,21.13,nasa_mur
4,3,2021-02-20,21.3,nasa_mur
4,3,2021-02-21,22.0,nasa_mur
4,15,2021-02-20,21.41,nasa_mur
4,15,2021-02-21,21.79,nasa_mur
4,26,2021-02-20,21.13,nasa_mur
4,26,2021-02-21,21.39,nasa_mur
5,14,2021-02-20,20.99,nasa_mur
5,14,2021-02-21,21.34,nasa_mur
5,29,2021-02-20,20.97,nasa_mur
5,29,2021-02-21,21.08,nasa_mur
6,5,2021-02-20,21.12,nasa_mur
6,5,2021-02-21,21.68,nasa_mur
7,5,2021-02-20,21.09,nasa_mur
7,5,2021-02-21,21.49,nasa_mur
7,8,2021-02-20,21.13,nasa_mur
7,8,2021-02-21,21.53,nasa_mur
9,1,2021-02-20,22.02,nasa_mur
9,1,2021-02-21,22.21,nasa_mur
9,3,2021-02-20,22.09,nasa_mur
9,3,2021-02-21,22.06,nasa_mur
9,5,2021-02-20,22.29,nasa_mur
9,5,2021-02-21,22.44,nasa_mur
9,6,2021-02-20,22.54,nasa_mur
9,6,2021-02-21,22.15,nasa_mur
9,9,2021-02-20,22.22,nasa_mur
9,9,2021-02-21,22.15,nasa_mur
10,2,2021-02-20,21.98,nasa_mur
10,2,2021-02-21,22.35,nasa_mur
10,3,2021-02-20,21.94,nasa_mur
10,3,2021-02-21,22.36,nasa_mur
11,19,2021-02-20,22.59,nasa_mur
11,19,2021-02-21,22.91,nasa_mur
12,3,2021-02-20,22.62,nasa_mur
12,3,2021-02-21,23.01,nasa_mur
12,23,2021-02-20,22.32,nasa_mur
12,23,2021-02-21,22.71,nasa_mur
12,40,2021-02-20,22.31,nasa_mur
12,40,2021-02-21,22.74,nasa_mur
13,42,2021-02-20,22.04,nasa_mur
13,42,2021-02-21,22.21,nasa_mur
13,64,2021-02-20,22.3,nasa_mur
13,64,2021-02-21,22.47,nasa_mur
13,72,2021-02-20,22.38,nasa_mur
13,72,2021-02-21,22.45,nasa_mur
14,77,2021-02-20,22.37,nasa_mur
14,77,2021-02-21,22.79,nasa_mur
14,82,2021-02-20,22.64,nasa_mur
14,82,2021-02-21,22.89,nasa_mur
15,22,2021-02-20,22.01,nasa_mur
15,22,2021-02-21,22.21,nasa_mur
15,104,2021-02-20,22.25,nasa_mur
15,104,2021-02-21,22.52,nasa_mur
16,95,2021-02-20,22.68,nasa_mur
16,95,2021-02-21,22.86,nasa_mur
17,126,2021-02-20,22.78,nasa_mur
17,126,2021-02-21,22.93,nasa_mur
17,131,2021-02-20,22.85,nasa_mur
17,131,2021-02-21,23.29,nasa_mur
18,4,2021-02-20,21.48,nasa_mur
18,4,2021-02-21,21.33,nasa_mur
18,7,2021-02-20,21.54,nasa_mur
18,7,2021-02-21,21.31,nasa_mur
19,1,2021-02-20,15.64,nasa_mur
19,1,2021-02-21,15.56,nasa_mur
20,9,2021-02-20,14.92,nasa_mur
20,9,2021-02-21,15.7,nasa_mur
20,14,2021-02-20,14.98,nasa_mur
20,14,2021-02-21,15.04,nasa_mur
21,11,2021-02-20,17.1,nasa_mur
21,11,2021-02-21,17.17,nasa_mur
21,13,2021-02-20,16.97,nasa_mur
21,13,2021-02-21,17.14,nasa_mur
22,1,2021-02-20,15.64,nasa_mur
22,1,2021-02-21,16.44,nasa_mur
22,6,2021-02-20,17.21,nasa_mur
22,6,2021-02-21,18.1,nasa_mur
24,3,2021-02-20,15.99,nasa_mur
24,3,2021-02-21,15.93,nasa_mur
24,7,2021-02-20,16.27,nasa_mur
24,7,2021-02-21,16.24,nasa_mur
