indicator,label,n,n_bleached,auc,optimal_threshold,sensitivity,specificity,spearman_r,spearman_p
days30_mur_raw,30℃日数 MUR生,182,65,0.8587113740959895,7.0,0.8153846153846154,0.811965811965812,,
days30_mur_corr,30℃日数 MUR補正,182,65,0.8554898093359631,6.0,0.8153846153846154,0.8034188034188035,,
days30_coraltemp_raw,30℃日数 CoralTemp生,204,76,0.8112150493421053,5.0,0.7368421052631579,0.859375,,
days30_logger,30℃日数 実測,182,65,0.8049309664694281,7.0,0.7692307692307693,0.7948717948717949,,
days30_coraltemp_corr,30℃日数 CoralTemp補正,204,76,0.7709189967105263,2.0,0.618421052631579,0.890625,,
dhw_mur_corr_adj,DHW MUR補正+MMM調整,182,65,0.6296515450361604,0.0236059907834104,0.6461538461538462,0.5811965811965811,,
dhw_mur_corr,DHW MUR補正,182,65,0.6199211045364893,0.5399999999999971,0.38461538461538464,0.811965811965812,,
dhw_mur_raw,DHW MUR生,182,65,0.591715976331361,2.7539723502304234,0.2,0.9658119658119658,,
dhw_coraltemp_raw,DHW CoralTemp生,204,76,0.5658408717105263,1.1052534562212,0.27631578947368424,0.9140625,,
dhw_coraltemp_corr,DHW CoralTemp補正,204,76,0.5658408717105263,1.1052534562211902,0.27631578947368424,0.9140625,,
dhw_logger,DHW 実測,182,65,0.5601577909270217,1.1530161290322536,0.3230769230769231,0.8461538461538461,,
