site_no,spot_no,year,mmm,days_above_mmm,days_above_mmm1
1,5,2020,28.94,24,2
1,5,2021,28.94,13,0
3,11,2020,29.22741935483871,40,7
3,11,2021,29.22741935483871,0,0
3,13,2020,29.03322580645161,41,8
3,13,2021,29.03322580645161,2,0
4,3,2020,29.161548387096772,37,2
4,3,2021,29.161548387096772,21,0
4,15,2020,29.60691358024691,21,1
4,15,2021,29.60691358024691,6,0
4,26,2020,29.11567741935484,32,5
4,26,2021,29.11567741935484,11,0
5,14,2020,29.405161290322575,27,1
5,14,2021,29.405161290322575,8,0
5,29,2020,29.109806451612908,34,4
5,29,2021,29.109806451612908,11,0
6,5,2020,29.13174193548387,35,3
6,5,2021,29.13174193548387,14,0
7,5,2020,29.01645161290323,45,3
7,5,2021,29.01645161290323,15,0
7,8,2020,29.01006451612903,45,3
7,8,2021,29.01006451612903,15,0
9,1,2020,29.753629032258065,33,1
9,1,2021,29.753629032258065,5,0
9,3,2020,30.00596774193549,17,0
9,3,2021,30.00596774193549,4,0
9,5,2020,29.76961290322581,42,0
9,5,2021,29.76961290322581,9,0
9,6,2020,29.757677419354835,46,2
9,6,2021,29.757677419354835,11,0
9,9,2020,29.83795698924731,22,0
9,9,2021,29.83795698924731,6,0
10,2,2020,29.74290322580645,39,1
10,2,2021,29.74290322580645,12,0
10,3,2020,29.89290322580645,21,0
10,3,2021,29.89290322580645,4,0
11,19,2020,29.86793548387097,46,0
11,19,2021,29.86793548387097,18,0
12,3,2020,29.915161290322583,42,0
12,3,2021,29.915161290322583,18,0
12,23,2020,30.045,38,0
12,23,2021,30.045,13,0
12,40,2020,30.020806451612906,37,0
12,40,2021,30.020806451612906,14,0
13,42,2020,30.184758064516128,32,0
13,42,2021,30.184758064516128,16,0
13,64,2020,30.06959677419355,36,0
13,64,2021,30.06959677419355,13,0
13,72,2020,30.126048387096777,38,0
13,72,2021,30.126048387096777,12,0
14,77,2020,30.21024193548387,29,0
14,77,2021,30.21024193548387,7,0
14,82,2020,30.166532258064517,25,0
14,82,2021,30.166532258064517,7,0
15,22,2020,30.149354838709677,35,0
15,22,2021,30.149354838709677,12,0
15,104,2020,30.1,39,0
15,104,2021,30.1,9,0
16,95,2020,30.09225806451613,28,0
16,95,2021,30.09225806451613,8,0
17,126,2020,30.03822580645161,47,0
17,126,2021,30.03822580645161,24,0
17,131,2020,30.008064516129032,49,0
17,131,2021,30.008064516129032,30,0
18,4,2020,28.606800000000003,92,16
18,4,2021,28.606800000000003,34,6
18,7,2020,28.844916666666663,74,10
18,7,2021,28.844916666666663,27,5
19,1,2020,27.155290322580644,26,2
19,1,2021,27.155290322580644,7,0
20,9,2020,28.191129032258065,14,9
20,9,2021,28.191129032258065,6,0
20,14,2020,28.39524193548387,20,0
20,14,2021,28.39524193548387,6,0
21,11,2020,28.372064516129033,27,17
21,11,2021,28.372064516129033,0,0
21,13,2020,28.33832258064516,28,17
21,13,2021,28.33832258064516,0,0
22,1,2020,27.81048387096774,17,13
22,1,2021,27.81048387096774,18,0
22,6,2020,28.588548387096775,20,6
22,6,2021,28.588548387096775,2,0
22,11,2020,28.71193548387097,17,2
22,11,2021,28.71193548387097,0,0
24,3,2020,28.52569892473118,18,3
24,3,2021,28.52569892473118,7,0
24,7,2020,28.530483870967743,17,2
24,7,2021,28.530483870967743,7,1
